sym_1,sym_2,p_value,adf_stat,c_value,hedge_ratio,zero_crossing,min_capital_1,min_capital_2,min_capital_per_leg,min_equity_recommended
FIL-USDT-SWAP,NEAR-USDT-SWAP,0.002754636661313415,-4.279574041393719,-3.3403793686498564,0.5629332277819918,6,1.268,0.14830000000000002,1.268,2.536
DOGE-USDT-SWAP,AVAX-USDT-SWAP,0.0052392950599211285,-4.0946159877153745,-3.3403793686498564,1.0313848170766189,0,0.001258,1.1968,1.1968,2.3936
XRP-USDT-SWAP,AAVE-USDT-SWAP,2.689300103650662e-05,-5.4116782168976645,-3.3403793686498564,0.3574115967540711,0,0.01905,15.923,15.923,31.846
XRP-USDT-SWAP,ATOM-USDT-SWAP,2.9592567515801437e-05,-5.390676855153083,-3.340382325997512,0.37724894664403935,0,0.01905,2.212,2.212,4.424
XRP-USDT-SWAP,AVAX-USDT-SWAP,0.0009627260236049624,-4.56309850104933,-3.3403793686498564,0.36673842774076465,0,0.01905,1.1968,1.1968,2.3936
XRP-USDT-SWAP,COMP-USDT-SWAP,0.0004494534405337858,-4.756760029591225,-3.3403793686498564,0.3302397473288869,0,0.01905,2.4030000000000005,2.4030000000000005,4.806000000000001
XRP-USDT-SWAP,INJ-USDT-SWAP,0.00030509718218677575,-4.852083724005005,-3.3403793686498564,0.33282827029431106,0,0.01905,4.443,4.443,8.886
XRP-USDT-SWAP,TON-USDT-SWAP,0.0005678917181445263,-4.698215197261501,-3.3403793686498564,0.30161361164589634,0,0.01905,1.533,1.533,3.066
BCH-USDT-SWAP,BAND-USDT-SWAP,0.009781260202152173,-3.904410913918188,-3.3403793686498564,0.36293897667912445,0,5.8950000000000005,0.2742,5.8950000000000005,11.790000000000001
BCH-USDT-SWAP,IOTA-USDT-SWAP,0.01214927624082471,-3.8354701120316914,-3.3403793686498564,0.6060377845256335,0,5.8950000000000005,0.08495,5.8950000000000005,11.790000000000001
BCH-USDT-SWAP,SAND-USDT-SWAP,0.014754499021540293,-3.772257760668581,-3.3403793686498564,0.3271562357490291,0,5.8950000000000005,0.1208,5.8950000000000005,11.790000000000001
AAVE-USDT-SWAP,JUP-USDT-SWAP,0.014133026834640551,-3.786382118398152,-3.3403793686498564,0.32010845546577527,0,15.923,0.2115,15.923,31.846
ADA-USDT-SWAP,ATOM-USDT-SWAP,0.0022748417144653516,-4.332797574377934,-3.340382325997512,0.4664889499371877,0,0.0356,2.212,2.212,4.424
ARB-USDT-SWAP,FIL-USDT-SWAP,0.010532048490221872,-3.881075638206219,-3.3403793686498564,1.1956035918590773,0,0.017050000000000003,1.268,1.268,2.536
AVAX-USDT-SWAP,CRO-USDT-SWAP,0.0027736311704393128,-4.2776482436890575,-3.3403793686498564,0.5598421293043876,0,1.1968,0.09028,1.1968,2.3936
AVAX-USDT-SWAP,DOT-USDT-SWAP,0.013745588259848389,-3.795467715350209,-3.3403793686498564,0.438603830097015,0,1.1968,0.1857,1.1968,2.3936
AVAX-USDT-SWAP,ETHFI-USDT-SWAP,0.013262149900514676,-3.8071276600026978,-3.3403793686498564,0.30108156911907735,0,1.1968,0.618,1.1968,2.3936
AVAX-USDT-SWAP,FLOKI-USDT-SWAP,0.006628475221617652,-4.024306508961487,-3.3403793686498564,0.3251316876067325,0,1.1968,4.139e-05,1.1968,2.3936
AVAX-USDT-SWAP,HBAR-USDT-SWAP,0.005121391908547723,-4.101340025347296,-3.3403793686498564,0.7971992517051727,0,1.1968,0.010610000000000001,1.1968,2.3936
AVAX-USDT-SWAP,PEPE-USDT-SWAP,0.01507500208751934,-3.765177592142924,-3.3403793686498564,0.41327116693435256,0,1.1968,4.938999999999999e-07,1.1968,2.3936
BRETT-USDT-SWAP,INJ-USDT-SWAP,0.012449634840493218,-3.8276008125296515,-3.3403793686498564,1.2451917206209826,0,0.013,4.443,4.443,8.886
BRETT-USDT-SWAP,KSM-USDT-SWAP,0.01161149059782476,-3.850002090541449,-3.340382325997512,0.7002510166157834,0,0.013,6.742,6.742,13.484
BRETT-USDT-SWAP,LPT-USDT-SWAP,0.009532124460307588,-3.9125090394331328,-3.3403793686498564,1.0021285769623365,0,0.013,3.176,3.176,6.352
BRETT-USDT-SWAP,TON-USDT-SWAP,0.006869477968908503,-4.013493326527322,-3.3403793686498564,1.1018794133801544,0,0.013,1.533,1.533,3.066
CFX-USDT-SWAP,FIL-USDT-SWAP,0.0028972059282105435,-4.265408213088846,-3.3403793686498564,0.664833580986057,0,0.006816,1.268,1.268,2.536
CFX-USDT-SWAP,INJ-USDT-SWAP,0.0003787610067993364,-4.799112379094156,-3.3403793686498564,0.5781027981601434,0,0.006816,4.443,4.443,8.886
CFX-USDT-SWAP,KSM-USDT-SWAP,3.823409394796351e-05,-5.334060397658723,-3.340382325997512,0.6339348025670698,0,0.006816,6.742,6.742,13.484
CFX-USDT-SWAP,LPT-USDT-SWAP,0.0012531468146356748,-4.493920603170047,-3.3403793686498564,0.34441015208526293,0,0.006816,3.176,3.176,6.352
CFX-USDT-SWAP,LTC-USDT-SWAP,0.00031452446725377815,-4.844666736442056,-3.3403793686498564,0.4111494497012389,0,0.006816,7.034000000000001,7.034000000000001,14.068000000000001
CRO-USDT-SWAP,LPT-USDT-SWAP,0.011401135595858163,-3.855849620458984,-3.3403793686498564,0.35574449590841684,0,0.09028,3.176,3.176,6.352
ENA-USDT-SWAP,KSM-USDT-SWAP,0.015228271893720766,-3.7618385209292873,-3.340382325997512,0.7401427607139397,0,0.1716,6.742,6.742,13.484
ETC-USDT-SWAP,FIL-USDT-SWAP,0.0015158026538218841,-4.44323203985999,-3.3403793686498564,0.5948792795979305,0,0.11470000000000001,1.268,1.268,2.536
ETC-USDT-SWAP,KSM-USDT-SWAP,0.008404288334279971,-3.951723613915017,-3.340382325997512,0.481805670537804,0,0.11470000000000001,6.742,6.742,13.484
ETHW-USDT-SWAP,FIL-USDT-SWAP,6.0874824475725e-06,-5.729208782630083,-3.3403793686498564,0.6683039203997347,0,0.4786,1.268,1.268,2.536
ETHW-USDT-SWAP,INJ-USDT-SWAP,5.898803218815486e-06,-5.735777533578131,-3.3403793686498564,0.8824153647185536,0,0.4786,4.443,4.443,8.886
ETHW-USDT-SWAP,KSM-USDT-SWAP,7.821846651727363e-07,-6.145687701428966,-3.340382325997512,1.1326075929428105,0,0.4786,6.742,6.742,13.484
ETHW-USDT-SWAP,LTC-USDT-SWAP,9.335372640730572e-06,-5.639380681287447,-3.3403793686498564,0.7642446403538181,0,0.4786,7.034000000000001,7.034000000000001,14.068000000000001
FIL-USDT-SWAP,INJ-USDT-SWAP,0.018936730229692507,-3.688890244634349,-3.3403793686498564,0.7735050520063462,0,1.268,4.443,4.443,8.886
FIL-USDT-SWAP,KSM-USDT-SWAP,0.009461485546437892,-3.9148396181337803,-3.340382325997512,0.5560285134276226,0,1.268,6.742,6.742,13.484
FIL-USDT-SWAP,LDO-USDT-SWAP,0.01161072679969989,-3.8500231518135704,-3.3403793686498564,0.38480581593117813,0,1.268,0.5225,1.268,2.536
FLOKI-USDT-SWAP,INJ-USDT-SWAP,0.0006576497913729424,-4.661081629874714,-3.3403793686498564,0.5931891066522335,0,4.139e-05,4.443,4.443,8.886
FLOKI-USDT-SWAP,KSM-USDT-SWAP,0.0034716425160032736,-4.21415843933957,-3.340382325997512,0.5104561950656058,0,4.139e-05,6.742,6.742,13.484
FLOKI-USDT-SWAP,LPT-USDT-SWAP,0.0034202705784423214,-4.2184109208389815,-3.3403793686498564,0.44802481502655755,0,4.139e-05,3.176,3.176,6.352
FLOKI-USDT-SWAP,TON-USDT-SWAP,0.006724158878324176,-4.01997154154877,-3.3403793686498564,0.32496429628752566,0,4.139e-05,1.533,1.533,3.066
INJ-USDT-SWAP,TON-USDT-SWAP,0.014329109799409838,-3.781867465658475,-3.3403793686498564,0.5493584656070291,0,4.443,1.533,4.443,8.886
INJ-USDT-SWAP,ZETA-USDT-SWAP,0.012674490217562494,-3.8218192141504077,-3.340382325997512,0.42876293480550953,0,4.443,0.07256,4.443,8.886
LDO-USDT-SWAP,LTC-USDT-SWAP,2.110102914720211e-06,-5.947051725700719,-3.3403793686498564,0.4033686201899285,0,0.5225,7.034000000000001,7.034000000000001,14.068000000000001
LINK-USDT-SWAP,LPT-USDT-SWAP,0.0034299674731205604,-4.217603759795778,-3.3403793686498564,0.5000784301004821,0,0.12498,3.176,3.176,6.352
LPT-USDT-SWAP,TRX-USDT-SWAP,0.0025361125127898723,-4.30265675740809,-3.3403793686498564,-0.525132797732347,0,3.176,0.0029530000000000003,3.176,6.352
LTC-USDT-SWAP,PEPE-USDT-SWAP,0.010826121066358524,-3.8723387643617033,-3.3403793686498564,0.408773680420226,0,7.034000000000001,4.938999999999999e-07,7.034000000000001,14.068000000000001
LTC-USDT-SWAP,SUSHI-USDT-SWAP,0.0007883070534920572,-4.614775261149271,-3.340382325997512,0.4268232641228116,0,7.034000000000001,0.2975,7.034000000000001,14.068000000000001
MASK-USDT-SWAP,TON-USDT-SWAP,1.4827965080601585e-05,-5.540799249058921,-3.3403793686498564,0.37801481710122103,0,0.6321,1.533,1.533,3.066
MUBARAK-USDT-SWAP,TON-USDT-SWAP,2.8840500331958667e-08,-6.776950611522893,-3.3403793686498564,0.8651967814280603,0,0.01801,1.533,1.533,3.066
MUBARAK-USDT-SWAP,USDC-USDT-SWAP,4.121672177564304e-06,-5.8101446136271715,-3.3403793686498564,2.6754787205316006,0,0.01801,1.00092,1.00092,2.00184
NEAR-USDT-SWAP,USDC-USDT-SWAP,0.005800301566020867,-4.064394071015879,-3.3403793686498564,0.7226428700465846,0,0.14830000000000002,1.00092,1.00092,2.00184
TON-USDT-SWAP,XLM-USDT-SWAP,0.006401602412197892,-4.034815684001467,-3.3403793686498564,0.8647534593867656,0,1.533,0.0020883,1.533,3.066
